Conference,"City, Country",Deadline,Date,Notification,Submission format and comments
ICLPInternational Conference on Logic Programming,"Dallas, Texas, USA",6/13 May 20248 July 2024,11-17 October 2024,19 June 202422 July 2024,"TPLP,
	      14 pages regular;EPTCS, 7 pages short, 3 pages recently published, 3 pages system demonstrations, 3 pages birds of a feather"
DISCDistributed Computing,"Madrid, Spain",7/14 May 2024,28 October - 1 November 2024,2 August 2024,"LIPIcs,double-blind, no page limit, but only first 15 pages read, 15 pages excluding references in proceedings"
TAPTests and Proofs,"Milan, Italy",8/15 May 2024,9–10 September 2024,26 June 2024,"LNCS, 16 pages regular + tools + case studies, 6 pages short, all excluding references;
	      co-located withFM"
FACSFormal Aspects of Component Software,"Milan, Italy",8/15 May 2024,9-10 September 2024,26 June 2024,"LNCS, 16 pages full, 6 pages short, 16 pages special tract, all excluding references;
	      co-located withFM"
PoSPragmatics of SAT,"Pune, India",13/18 May 202427 May 20245 June 2024,20 August 2024,23 June 2023,"CEURART, 1 column,
	      15 pages long, 8 pages short, both excluding references,8 pages competition solver description;3rd deadline for SAT fast track, last deadline for competition solver descriptions;
	      satellite event ofSAT"
QUANTIFYWorkshop on Quantification,"Nancy, France",15 May 2024,1 July 2024,30 May 2024,"LNCS, 15 pages full and tutorial, 2 pages talk abstracts, all excluding references;
	      co-located withIJCAR"
WAITWorkshop on Automated (Co)Inductive Theorem Proving,"Nancy, France",15 May 2024,2 July 2024,1 June 2024,"EasyChair, 2 pages;
	      co-located withIJCAR"
LOPSTRLogic-Based Program Synthesis and Transformation,"Milan, Italy",15/19 May 2024,9-11 September 2024,26 June 2024,"LNCS, 15 pages regular, 8 pages short, both excluding references;
	      co-located withFMandPPDP"
PPDPPrinciples and Practice of Declarative Programming,"Milan, Italy",15/22 May 2024,9-11 September 2024,3 July 2024,"ACM, 2 column,
	      12 pages excluding references regular, 10 pages system descriptions,5 pages including references experience reports;
	      co-located withFMandLOPSTR"
WABIWorkshop on Algorithms in Bioinformatics,"Egham, United Kingdom",19 May 2024,2-4 September 2024,23 June 2024,"LIPIcs,
	      15 pages excluding front matter and references;
	      part ofALGO"
SASStatic Analysis Symposium,"Pasadena, California, USA",19 May 2024,20-25 October 2024,16 July 2024,"double-blind, no page limit"
DSAAData Science and Advanced Analytics,"San Diego, California, USA",20 May 2024,6-10 October 2024,24 July 2024,"IEEE,
	      2 columns, 10 pages"
SAGTSymposium on Algorithmic Game Theory,"Amsterdam, The Netherlands",21 May 2024,3-6 September 2024,5 July 2024,"LNCS, 18 pages excluding references"
"LODMachineLearning,Optimization,Data Science","Castiglione della Pescaia, Italy",23 May 2024,22-25 September 2024,23 June 2024,"LNCS, 15 pages long, 11 pages short"
APLASAsian Symposium on Programming Languages and Systems,"Kyoto, Japan",24 May 2024,22-25 October 2024,2 August 2024,"LNCS, 17 pages excluding references"
ADTAlgorithmic Decision Theory,"Piscataway, New Jersey, USA",24/31 May 2024,14-16 October 2024,19 July 2024,"LNCS, 15 pages"
RPReachability Problems,"Vienna, Austria",27/30 May 2024,25-27 September 2024,11 July 2024,"LNCS, 12 pages"
GDGraph Drawing,"Vienna, Austria",31 May / 7 June 2024,18-20 September 2024,20 July 2024,"LIPIcswithown LaTeX class,double-blind,
	      500 lines regular, 225 lines short,both excluding front matter and references"
LSFALogical and Semantic Frameworks with Applications,"Goiânia, Brazil",31 May / 7 June 2024,18-20 September 2024,,"EPTCS, 16 pages full, 6 pages short"
"IOTSMSInternet of Things: Systems, Management and Security","Malmö, Sweden",1 June 2024,2-5 September 2024,15 July 2024,"IEEE, 2 column,
	      8 pages full regular, 6 pages short, 3 pages posters and demos"
AAIMAlgorithmic Aspects in Information and Management,"Dallas, Texas. USA",1 June 2024,21-23 September 2024,1 July 2024,"LNCS, 12 pages"
RuleML+RRInternational Joint Conference on Rules and Reasoning,"Bucharest, Romania",1/7 June 2024,16-18 September 2024,19 July 2024,"LNCS, 15 pages long, 8 pages short"
JAFJournées sur les Arithmétiques Faibles,"Passau, Germany",2 June 2024,9-11 September 2024,2 July 2024,3 pages
iFMIntegrated Formal Methods,"Manchester, UK",3/10 June 2024,13-15 November 2024,5 August 2024,"LNCS, 16 pages regular, 6 pages short"
ALGOWINAlgorithmic of Wireless Networks,"Egham, United Kingdom",7 June 2024,5-6 September 2024,1 August 2024,"LNCS,12 pages excluding referenes;
	      part ofALGO"
SEFMSoftware Engineering and Formal Methods,"Aveiro, Portugal",7/14 June 2024,4-8 November 2024,15 August 2024,"LNCS, 16 pages excludinge references regular, 8 pages tool"
ICTCSItalian Conference on Theoretical Computer Science,"Torino, Italy",9 June 2024,11-13 September 2024,14 July 2024,"LNCS, 12 pages regular, 5 pages communications, both excluding references"
ICTACInternational Colloquium on Theoretical Aspects of Computing,"Bangkok, Thailand",14/21 June 2024,25-29 November 2024,1 September 2024,"LNCS, 16 pages excluding references full, 8 pages short and tool"
MLCSMachine Learning for Cybersecurity,"Vilnius, Lithuania",15 June 2024,9-13 September 2024,15 July 2024,"LNCS, 16 pages regular, 6 pages short"
WISEWeb Information Systems Engineering,"Doha, Qatar",20/30 June 2024,2-5 December 2024,30 August 2024,"LNCS,double-blind, 15 pages"
TIMETemporal Representation and Reasoning,"Montpellier, France",21 June 2024,28-30 October 2024,2 August 2024,"LIPIcs,
	      12 pages excluding references + 5 pages appendix"
LPNMRLogic Programming and Non-Monotonic Reasoning,"Dallas, Texas, USA",21/28 June 2024,11-14 October 2024,28 July 2024,"LNCS, 13 pages long, 6 pages short"
IPECInternational Symposium on Parameterized and Exact Computation,"Egham, United Kingdom",26/30 June 2024,4-6 September 2024,5 August 2024,"LIPIcs,
	      no page limit, but only first 12 pages read;
	      part ofALGO"
ISAACInternational Symposium on Algorithms and Computation,"Sydney, Australia",28 June 2024,8-12 December 2024,2 September 2024,"LIPIcs,double-blind, 12 pages excluding references"
FedCSISFederated Conference on Computer Science and Information Systems,"Belgrade, Serbia",28 May 2024,8-11 September 2024,18 June 2024,"own format,
	      12 pages full, 6 pages short, 8 pages communication"
"ATMOSAlgorithmic Approaches for Transportation Modelling, Optimization, and Systems","Egham, United Kingdom",30 June 2024,5-6 September 2024,31 July 2024,"OASIcs,
	      12 pages excluding references regular, 6 pages short;
	      part ofALGO"
ALGOCLOUDAlgorithms for Cloud-Based Systems,"Egham, United Kingdom",1 July 2024,2-3 September 2024,31 July 2024,"LNCS, 12 pages excluding references regular, 8 pages short, 10 pages survey;
	      part ofALGO"
ICTAIInternational Conference on Tools with Artificial Intelligence,"Herndon, Virginia, USA",1 July 2024,28-30 October 2024,18 August 2024,"IEEE Transactions,double-blind, 8 pages"
WAOAWorkshop on Approximation and Online Algorithms,"Egham, United Kingdom",3 July 2024,5-6 September 2024,31 July 2024,"LNCS,double-blind, 10 pages excluding references;
	      part ofALGO"
FSTTCSFoundations of Software Technology and Theoretical Computer Science,"Gandhinagar, Gujarat, India",5 July 2024,16-18 December 2024,16 September 2024,"LIPIcs,
	      15 pages excluding references"
SODASymposium on Discrete Algorithms,"New Orleans, Lousiana, USA",5 July 2024,12-15 January 2025,6 September 2024early October 2024,"double-blind, no page limit, but only first 10 pages read"
"CSCMLCyber Security, Cryptology and Machine Learning",,6 or 7 July 2024,19-20 December 2024,13 August 2024,"LNCS, 12-15+ pages regular, 6-11 pages short"
NMRNon-Monotonic Reasoning,"Hanoi, Vietnam",7/12 July 2024,2-4 November 2024,1 September 2024,"CEUR,
	      10 pages including references full, 3 pages excluding referencesextended abstracts;
	      co-located withKR"
POPLPrinciples of Programming Languages,"Denver, Colorado, USA",11 July 2024,19-25 January 2025,,"ACMart,double-blind,
	      25 pages excluding references"
"VSTTEVerified Software: Theories, Tools, and Experiments","Prague, Czech Republic",18 July 2024,14-15 October 2024,29 August 2024,"LNCS, 16 pages long, 10 pages short, both excluding references;
	      co-located withFMCAD"
CSLComputer Science Logic,"Amsterdam, The Netherlands",18/23 July 2024,10-14 February 2025,27 October 2024,"LIPIcs,double-blind, 15 pages excluding references"
ICDCNInternational Conference on Distributed Computing and Networking,"Hyderabad, India",25 July 2024,4-7 January 2025,27 September 2024,"ACMart, 10 pages regular, 5 pages short"
TERMGRAPHComputing with Terms and Graphs,post-proceedings,1 August 2024,7 April 2024,15 September 2024,"EPTCS, 16 pages post-proceedings"
KDDKnowledge Discovery and Data Mining,???,1/8 August 2024,,,
WADTWorkshop on Algebraic Development Techniques,post-proceedings,16 September 2024,,25 November 2024,dates for post-proceedings
WALCOMInternational Conference and Workshops on Algorithms and Computation,"Chengdu, China",22 September 2024,28 February - 2 March 2025,8 November 2024,"LNCS, 14 pages"
Conference,"City, Country",Deadline,Date,Notification,Submission format and comments
